"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","16","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondCount","secondCount()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","33","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstGet","firstGet()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","39","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstDelete","firstDelete()",""
"passed","Sat May 25 20:35:46 GMT 2024","Sat May 25 20:35:46 GMT 2024","225","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","insertWithoutFields","insertWithoutFields()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","33","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","updateWithoutFields","updateWithoutFields()",""
"passed","Sat May 25 20:35:46 GMT 2024","Sat May 25 20:35:46 GMT 2024","114","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstList","firstList()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","20","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","fourthCount","fourthCount()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","67","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondList","secondList()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","24","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","thirdCount","thirdCount()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","17","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondGet","secondGet()",""
"passed","Sat May 25 20:35:43 GMT 2024","Sat May 25 20:35:45 GMT 2024","2156","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","emptyCount","emptyCount()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","34","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","updateWithWrongId","updateWithWrongId()",""
"passed","Sat May 25 20:35:45 GMT 2024","Sat May 25 20:35:45 GMT 2024","24","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstCount","firstCount()",""
"passed","Sat May 25 20:35:46 GMT 2024","Sat May 25 20:35:47 GMT 2024","264","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstInsert","firstInsert()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","69","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","thirdList","thirdList()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","28","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","getWithWrongId","getWithWrongId()",""
"passed","Sat May 25 20:35:45 GMT 2024","Sat May 25 20:35:46 GMT 2024","755","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","emptyList","emptyList()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","37","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","deleteWithWrongId","deleteWithWrongId()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","69","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstUpdate","firstUpdate()",""
"passed","Sat May 25 20:35:47 GMT 2024","Sat May 25 20:35:47 GMT 2024","46","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","fourthList","fourthList()",""
