"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","23","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstDelete","firstDelete()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","26","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","fourthList","fourthList()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","70","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstUpdate","firstUpdate()",""
"passed","Sun May 26 22:39:10 GMT 2024","Sun May 26 22:39:12 GMT 2024","1887","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","emptyCount","emptyCount()",""
"passed","Sun May 26 22:39:13 GMT 2024","Sun May 26 22:39:13 GMT 2024","198","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","insertWithoutFields","insertWithoutFields()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","37","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","updateWithoutFields","updateWithoutFields()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","36","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstGet","firstGet()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","103","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondList","secondList()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","34","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","updateWithWrongId","updateWithWrongId()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","40","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","thirdList","thirdList()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","17","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondGet","secondGet()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","32","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","getWithWrongId","getWithWrongId()",""
"passed","Sun May 26 22:39:13 GMT 2024","Sun May 26 22:39:13 GMT 2024","109","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstList","firstList()",""
"passed","Sun May 26 22:39:12 GMT 2024","Sun May 26 22:39:13 GMT 2024","717","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","emptyList","emptyList()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","32","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","deleteWithWrongId","deleteWithWrongId()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","15","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","fourthCount","fourthCount()",""
"passed","Sun May 26 22:39:13 GMT 2024","Sun May 26 22:39:14 GMT 2024","257","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstInsert","firstInsert()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","17","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","secondCount","secondCount()",""
"passed","Sun May 26 22:39:12 GMT 2024","Sun May 26 22:39:12 GMT 2024","41","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","firstCount","firstCount()",""
"passed","Sun May 26 22:39:14 GMT 2024","Sun May 26 22:39:14 GMT 2024","25","","io.github.edufolly.GreetingResourceTest","","io.github.edufolly.GreetingResourceTest","thirdCount","thirdCount()",""
